Movie Name,Storyline,Rating,Voting Count,Image URL,Duration,Year,Cleaned_Storyline
We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",5.6, (7.6K,"https://m.media-amazon.com/images/M/MV5BNzQwZDIzMWEtZDNkOS00ODI5LWI1YmYtNDU3MTM0NWQ0MDVmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 34m,2024.0,After a catastrophic military disaster the dead dont just rise  they hunt ava searches for her missing husband but what she finds is far more terrifying
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",7.2, (405K,"https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",2h 21m,2024.0,A fading celebrity takes a blackmarket drug a cellreplicating substance that helps her create a younger better version of herself
The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",7.3, (60K,"https://m.media-amazon.com/images/M/MV5BZDhlMzJhMTgtN2FhZS00OWQ1LTk3Y2ItZGNiNTQ0ZmUzYmIzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 51m,2024.0,A lifeaffirming genrebending story about three chapters in the life of an ordinary man named charles krantz
Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",6.5, (40K,"https://m.media-amazon.com/images/M/MV5BMmU3YjQ1YzAtMGU4OS00MWJkLTg2NGMtM2NmMmQ3NTM3NjNjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 9m,2024.0,Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isnt the brutal climate or deadly wildlife but each other
I Was a Stranger,"Five strangers are pulled together, colliding on a single night where survival is uncertain.",8.7, (11K,"https://m.media-amazon.com/images/M/MV5BZGEwOTRmYmYtMzIyZS00YjQ1LThiNmYtYWJjZDg3NTU0NzQ5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 44m,2024.0,Five strangers are pulled together colliding on a single night where survival is uncertain
Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",5.6, (11K,"https://m.media-amazon.com/images/M/MV5BMzUzODVlYTItMDFlNC00ODM2LTg0ZDYtZjRlZWI2ZGMzMTljXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 34m,2024.0,A couples vacation at a secluded estate is upended when theyre forced to share the mansion with a mysterious couple a dream getaway spirals into a nightmarish maze of sex lies and manipulation triggering a battle for survival
Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",7.4, (264K,"https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 19m,2024.0,A young stripper from brooklyn meets and impulsively marries the son of a russian oligarch once the news reaches russia her fairy tale is threatened as his parents set out for new york to get the marriage annulled
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",6.5, (219K,"https://m.media-amazon.com/images/M/MV5BMmJkNGNiNjgtMzFlYy00ZDI5LWI2YzktZGVjYjI5MjQyMGU3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 41m,2024.0,In pursuit of a serial killer an fbi agent uncovers a series of occult clues that she must solve to end his terrifying killing spree
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",8.4, (717K,"https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 46m,2024.0,Paul atreides unites with the fremen while on a warpath of revenge against the conspirators who destroyed his family facing a choice between the love of his life and the fate of the universe he endeavors to prevent a terrible future
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",7.1, (260K,"https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 12m,2024.0,A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her causing untold horror in its wake
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",6.5, (126K,"https://m.media-amazon.com/images/M/MV5BMzczYmQ0NTUtMTM5OS00Mzc4LWExZDYtOWE4YjRkOWJkYWRlXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",1h 42m,2024.0,When tech billionaire slater king meets cocktail waitress frida at his fundraising gala he invites her to join him and his friends on a dream vacation on his private island as strange things start to happen frida questions her reality
Relay,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,7.0, (30K,"https://m.media-amazon.com/images/M/MV5BYzFhMjljODMtYTY3MS00NmFiLWEzOTAtNTczZjQ1NGMwMjE4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 52m,2024.0,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,6.4, (65K,"https://m.media-amazon.com/images/M/MV5BYjFiY2U2NjUtMWIxMy00NjJkLWI3OTItYzM3MzBlZDkyMDNkXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg",1h 44m,2024.0,A young girl who goes through a difficult experience begins to see everyones imaginary friends who have been left behind as their reallife friends have grown up
