Movie Name,Storyline,Rating,Voting Count,Image URL,Duration,Year
We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",5.6, (7.6K,"https://m.media-amazon.com/images/M/MV5BNzQwZDIzMWEtZDNkOS00ODI5LWI1YmYtNDU3MTM0NWQ0MDVmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 34m,2024
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",7.2, (405K,"https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",2h 21m,2024
The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",7.3, (60K,"https://m.media-amazon.com/images/M/MV5BZDhlMzJhMTgtN2FhZS00OWQ1LTk3Y2ItZGNiNTQ0ZmUzYmIzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 51m,2024
Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",6.5, (40K,"https://m.media-amazon.com/images/M/MV5BMmU3YjQ1YzAtMGU4OS00MWJkLTg2NGMtM2NmMmQ3NTM3NjNjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 9m,2024
I Was a Stranger,"Five strangers are pulled together, colliding on a single night where survival is uncertain.",8.7, (11K,"https://m.media-amazon.com/images/M/MV5BZGEwOTRmYmYtMzIyZS00YjQ1LThiNmYtYWJjZDg3NTU0NzQ5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 44m,2024
Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",5.6, (11K,"https://m.media-amazon.com/images/M/MV5BMzUzODVlYTItMDFlNC00ODM2LTg0ZDYtZjRlZWI2ZGMzMTljXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 34m,2024
Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",7.4, (264K,"https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 19m,2024
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",6.5, (219K,"https://m.media-amazon.com/images/M/MV5BMmJkNGNiNjgtMzFlYy00ZDI5LWI2YzktZGVjYjI5MjQyMGU3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",1h 41m,2024
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",8.4, (717K,"https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 46m,2024
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",7.1, (260K,"https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",2h 12m,2024
